variable_name,variable,value
age,4.0,0.001625042589087354
creatinine_phosphokinase,4.0,0.00021281947710478498
ejection_fraction,4.0,-0.0006418258139823746
platelets,4.0,7.328521649392977e-05
serum_creatinine,4.0,0.0006384144195540781
serum_sodium,4.0,0.00020301906874799872
sex,4.0,-0.0004112564960553096
smoking,4.0,5.0880197832896983e-05
age,6.0,0.0032455106415213712
creatinine_phosphokinase,6.0,0.00042600198842349406
ejection_fraction,6.0,-0.0012832673431201823
platelets,6.0,0.00014667029930482084
serum_creatinine,6.0,0.0012653067204121482
serum_sodium,6.0,0.00040355438998840526
sex,6.0,-0.0008196963545283016
smoking,6.0,0.00010114498788550523
age,7.0,0.006428654182714122
creatinine_phosphokinase,7.0,0.0008473174730365765
ejection_fraction,7.0,-0.0025480257160813684
platelets,7.0,0.00029165980876451607
serum_creatinine,7.0,0.002469563279857934
serum_sodium,7.0,0.0007923338776924188
sex,7.0,-0.0016180493448021286
smoking,7.0,0.0001987257288594414
age,8.0,0.009553377632810112
creatinine_phosphokinase,8.0,0.0012638201354962884
ejection_fraction,8.0,-0.0037965368750789603
platelets,8.0,0.000434983751781443
serum_creatinine,8.0,0.0036184251791367902
serum_sodium,8.0,0.001167958188719087
sex,8.0,-0.0023978633534937647
smoking,8.0,0.0002933375515865883
age,10.0,0.018717822212783695
creatinine_phosphokinase,10.0,0.0024982990288223905
ejection_fraction,10.0,-0.007504949184548058
platelets,10.0,0.0008601684351727625
serum_creatinine,10.0,0.006816043230522194
serum_sodium,10.0,0.0022407208261991758
sex,10.0,-0.004673435872450066
smoking,10.0,0.0005669503254522399
age,11.0,0.021969854581256897
creatinine_phosphokinase,11.0,0.0029398150517795573
ejection_fraction,11.0,-0.008839285471619728
platelets,11.0,0.0010125065595769315
serum_creatinine,11.0,0.007895217372104394
serum_sodium,11.0,0.002612551901267533
sex,11.0,-0.0054796152210731825
smoking,11.0,0.0006634536684580871
age,12.0,0.021969854581256897
creatinine_phosphokinase,12.0,0.0029398150517795573
ejection_fraction,12.0,-0.008839285471619728
platelets,12.0,0.0010125065595769315
serum_creatinine,12.0,0.007895217372104394
serum_sodium,12.0,0.002612551901267533
sex,12.0,-0.0054796152210731825
smoking,12.0,0.0006634536684580871
age,13.0,0.023571578543286426
creatinine_phosphokinase,13.0,0.00315776587926569
ejection_fraction,13.0,-0.009500213715070177
platelets,13.0,0.001087777884338947
serum_creatinine,13.0,0.00841701889992664
serum_sodium,13.0,0.0027941852645650836
sex,13.0,-0.005876778956513019
smoking,13.0,0.0007109770707760428
age,14.0,0.02672479364760008
creatinine_phosphokinase,14.0,0.0035876192941459847
ejection_fraction,14.0,-0.010808653324912413
platelets,14.0,0.0012363856709659287
serum_creatinine,14.0,0.009426449667822514
serum_sodium,14.0,0.0031490086798575245
sex,14.0,-0.006659093560274358
smoking,14.0,0.0008046046925691726
age,15.0,0.029829425691047896
creatinine_phosphokinase,15.0,0.004011692804857085
ejection_fraction,15.0,-0.012106518554350373
platelets,15.0,0.0013832141298097027
serum_creatinine,15.0,0.010398359534569704
serum_sodium,15.0,0.003494959291971676
sex,15.0,-0.007430174038378413
smoking,15.0,0.0008969694105405625
age,16.0,0.029829425691047896
creatinine_phosphokinase,16.0,0.004011692804857085
ejection_fraction,16.0,-0.012106518554350373
platelets,16.0,0.0013832141298097027
serum_creatinine,16.0,0.010398359534569704
serum_sodium,16.0,0.003494959291971676
sex,16.0,-0.007430174038378413
smoking,16.0,0.0008969694105405625
age,20.0,0.03290023106695135
creatinine_phosphokinase,20.0,0.0044317923493135585
ejection_fraction,20.0,-0.013399695387094752
platelets,20.0,0.0015289000473642724
serum_creatinine,20.0,0.011339412093024092
serum_sodium,20.0,0.0038339516312426184
sex,20.0,-0.008193860688147031
