,time,sigma,method,cluster,model
0,5.7276740009599,1.8241358509488228e-10,shap,1,cph
1,8.09374857395186,1.8241358509488228e-10,shap,1,cph
2,9.8260812409196,3.652289141654683e-10,shap,1,cph
3,13.3762370520276,5.484326308788956e-10,shap,1,cph
4,16.3526286943034,7.317123149223284e-10,shap,1,cph
5,16.5324716997911,9.150452491771286e-10,shap,1,cph
6,18.3696086314022,1.0985335594643529e-09,shap,1,cph
7,18.4058542755547,1.2820812913886569e-09,shap,1,cph
8,18.6262876004158,1.465977987357304e-09,shap,1,cph
9,19.5408314772914,1.6499581231227026e-09,shap,1,cph
10,19.7069152961622,1.8340435468362359e-09,shap,1,cph
11,20.0799076752599,2.01845224576936e-09,shap,1,cph
12,20.6656184787953,2.202790275864628e-09,shap,1,cph
13,22.1846062056455,2.387139765406063e-09,shap,1,cph
14,22.187595602074,2.5715549330563386e-09,shap,1,cph
15,22.2867582614098,2.7561622256932977e-09,shap,1,cph
16,22.5988458321695,2.9407221051291116e-09,shap,1,cph
17,23.1033246879691,2.9407221051291116e-09,shap,1,cph
18,24.0466904880672,2.9407221051291116e-09,shap,1,cph
19,25.1093634885783,2.9407221051291116e-09,shap,1,cph
20,25.1639437418928,3.1264066930916273e-09,shap,1,cph
21,26.2108145867548,3.3121252083195518e-09,shap,1,cph
22,26.3843332929163,3.497927649479971e-09,shap,1,cph
23,26.6649702788906,3.6837473508861576e-09,shap,1,cph
24,27.6129410978016,3.869610668310925e-09,shap,1,cph
25,29.4865466115167,4.055671848984918e-09,shap,1,cph
26,29.5108417596276,4.055671848984918e-09,shap,1,cph
27,30.5483139108515,4.242110932824451e-09,shap,1,cph
28,33.3430340567446,4.428675835870109e-09,shap,1,cph
29,33.4548478680592,4.615327446423929e-09,shap,1,cph
30,33.469916956898,4.615327446423929e-09,shap,1,cph
31,33.8930388592888,4.802239807718322e-09,shap,1,cph
32,34.7727355371029,4.989335738344386e-09,shap,1,cph
33,35.2844925649236,5.1765819829664815e-09,shap,1,cph
34,35.7073814823948,5.363931378633256e-09,shap,1,cph
35,36.2203630985143,5.551337108733555e-09,shap,1,cph
36,36.639450323588,5.738665512320285e-09,shap,1,cph
37,36.7108887751388,5.926110699096206e-09,shap,1,cph
38,37.0481852099071,6.113659363704387e-09,shap,1,cph
39,37.1657490480909,6.301761501645771e-09,shap,1,cph
40,37.2550472882151,6.4898250314317195e-09,shap,1,cph
41,37.3685490703465,6.6780701100065125e-09,shap,1,cph
42,37.4228891972398,6.866346337208187e-09,shap,1,cph
43,37.7199178463048,6.866346337208187e-09,shap,1,cph
44,38.1937080244626,7.054711696637086e-09,shap,1,cph
45,39.6298544347067,7.243043818502222e-09,shap,1,cph
46,39.7939078692797,7.43133423256482e-09,shap,1,cph
47,39.9197998744604,7.61959150128262e-09,shap,1,cph
48,41.9913318012214,7.807830205170795e-09,shap,1,cph
49,42.0147112240308,7.996295494451948e-09,shap,1,cph
50,42.3955009437433,8.184784632116483e-09,shap,1,cph
51,43.2339180208654,8.37337784671521e-09,shap,1,cph
52,43.6458675687477,8.562127175940208e-09,shap,1,cph
53,43.6661322854132,8.750876739308922e-09,shap,1,cph
54,44.3564192680243,8.750876739308922e-09,shap,1,cph
55,44.7282320203048,8.940205976345858e-09,shap,1,cph
56,44.8191211866179,9.129685916047778e-09,shap,1,cph
57,45.0219391333436,9.129685916047778e-09,shap,1,cph
58,46.0511726396585,9.319695552865865e-09,shap,1,cph
59,46.3082892789738,9.509725906585244e-09,shap,1,cph
60,46.6996337992101,9.699796178945982e-09,shap,1,cph
61,47.4705969004833,9.890113351675172e-09,shap,1,cph
62,47.9099165359395,1.0080398758960592e-08,shap,1,cph
63,48.816722006202,1.0270657390102527e-08,shap,1,cph
64,49.9480884102635,1.0461062433267381e-08,shap,1,cph
65,50.387916235596,1.065178985580563e-08,shap,1,cph
66,50.4525749130593,1.0842644934946923e-08,shap,1,cph
67,50.4674845058532,1.1033470448378007e-08,shap,1,cph
68,50.6130527703763,1.1224279547887782e-08,shap,1,cph
69,50.7277011053767,1.1415071222975115e-08,shap,1,cph
70,51.2149088629604,1.1605973307114549e-08,shap,1,cph
71,51.4750074183884,1.1797025653497009e-08,shap,1,cph
72,52.1137764677418,1.1988251547286025e-08,shap,1,cph
73,52.7986597344129,1.2179640638197939e-08,shap,1,cph
74,52.9780113671687,1.2179640638197939e-08,shap,1,cph
75,53.2185510629582,1.2371368428488963e-08,shap,1,cph
76,53.5016999509569,1.2563353453406165e-08,shap,1,cph
77,54.7807179167552,1.2755393416839796e-08,shap,1,cph
78,55.0997748985582,1.2947575211957408e-08,shap,1,cph
79,55.7678203653712,1.3139788298444438e-08,shap,1,cph
80,55.8801022322739,1.3331960684114429e-08,shap,1,cph
81,55.9462086242552,1.3524527599003215e-08,shap,1,cph
82,57.0226236043113,1.3717244001033736e-08,shap,1,cph
83,57.1934959623247,1.390998355250512e-08,shap,1,cph
84,57.8671160048525,1.4102863294432036e-08,shap,1,cph
85,58.5260431224639,1.429564903964233e-08,shap,1,cph
86,58.8988090809779,1.4488516251012468e-08,shap,1,cph
87,59.3122833999827,1.468152820588706e-08,shap,1,cph
88,59.4607147276812,1.487497000487847e-08,shap,1,cph
89,60.5499402414557,1.506865829583252e-08,shap,1,cph
90,60.5911907737527,1.526260457522726e-08,shap,1,cph
91,60.9850739088222,1.545666448267039e-08,shap,1,cph
92,61.0995794135042,1.5650764819703413e-08,shap,1,cph
93,61.5602598275207,1.5844875497287614e-08,shap,1,cph
94,61.6073120529229,1.603926814866989e-08,shap,1,cph
95,61.6914890472756,1.6233669178853722e-08,shap,1,cph
96,61.8441287717167,1.642805155816629e-08,shap,1,cph
97,62.0390701384722,1.6622408939328783e-08,shap,1,cph
98,62.039299666202,1.681674283015021e-08,shap,1,cph
99,62.3364056353158,1.7011001492746885e-08,shap,1,cph
100,63.3319255974616,1.720525162265394e-08,shap,1,cph
101,63.3967251083319,1.7399390148635033e-08,shap,1,cph
102,63.6040374382257,1.7399390148635033e-08,shap,1,cph
103,63.6228888630133,1.7593715724679985e-08,shap,1,cph
104,64.2583596199678,1.7788094495844836e-08,shap,1,cph
105,64.8787054632602,1.7982528549863982e-08,shap,1,cph
106,65.3277575005134,1.8177266406560667e-08,shap,1,cph
107,65.4313244071148,1.837206824179939e-08,shap,1,cph
108,65.9357148983267,1.856727598430203e-08,shap,1,cph
109,66.0726448588306,1.8762466781663195e-08,shap,1,cph
110,66.0774026537222,1.8957725355503555e-08,shap,1,cph
111,66.1108935810034,1.9152975372285563e-08,shap,1,cph
112,66.4752423944368,1.9348170519465835e-08,shap,1,cph
113,66.6779640508845,1.9543284701112983e-08,shap,1,cph
114,66.8876175790487,1.973827946558842e-08,shap,1,cph
115,66.8943963068677,1.9933258531519544e-08,shap,1,cph
116,67.3239606921629,2.012834162597993e-08,shap,1,cph
117,67.9076722620203,2.0323375511634985e-08,shap,1,cph
118,68.0355287579835,2.0518430289421553e-08,shap,1,cph
119,68.6862956689451,2.0518430289421553e-08,shap,1,cph
120,68.7714824860528,2.0518430289421553e-08,shap,1,cph
121,69.0457904799936,2.071435578436883e-08,shap,1,cph
122,69.57876342164,2.0910401533982688e-08,shap,1,cph
123,69.8656588625857,2.1106681182086467e-08,shap,1,cph
124,70.124020728895,2.13033969519361e-08,shap,1,cph
125,70.2688991178392,2.1500335821065145e-08,shap,1,cph
126,70.3152540615195,2.1697218666167245e-08,shap,1,cph
127,70.4963890559108,2.1894291668045887e-08,shap,1,cph
128,70.7717357997882,2.2091560618049616e-08,shap,1,cph
129,71.1621847832659,2.2289126077970858e-08,shap,1,cph
130,71.1960062574924,2.248664628851489e-08,shap,1,cph
131,71.4329875352147,2.268412488407947e-08,shap,1,cph
132,71.7590763967491,2.2881939364681277e-08,shap,1,cph
133,71.8527279869573,2.3079897644917902e-08,shap,1,cph
134,72.6386387201208,2.3278001248854857e-08,shap,1,cph
135,72.7034228115443,2.3476140988128618e-08,shap,1,cph
136,73.1011761579715,2.3674694241817676e-08,shap,1,cph
137,73.361828397156,2.387337056275173e-08,shap,1,cph
138,73.6534884579961,2.4072557701363087e-08,shap,1,cph
139,73.6999957087725,2.4272182723605036e-08,shap,1,cph
140,73.900868083148,2.4472162652382977e-08,shap,1,cph
141,74.0192927988343,2.4672161302395764e-08,shap,1,cph
142,74.3128159458771,2.4872181672724847e-08,shap,1,cph
143,74.3936924514593,2.507222808461177e-08,shap,1,cph
144,74.5283603453583,2.527275600255376e-08,shap,1,cph
145,74.5908913956862,2.547352417920263e-08,shap,1,cph
146,74.775987153997,2.5674303286523717e-08,shap,1,cph
147,74.9353675221163,2.587513531340917e-08,shap,1,cph
148,75.0832031296154,2.60761962750607e-08,shap,1,cph
149,75.2081941834832,2.6277283439013466e-08,shap,1,cph
150,75.3659260297518,2.6478655949378705e-08,shap,1,cph
151,76.153402130577,2.6680109079210273e-08,shap,1,cph
152,76.6190359112656,2.6881547711380677e-08,shap,1,cph
153,76.7868444803368,2.7083119545886837e-08,shap,1,cph
154,76.8711847477194,2.7284842256391128e-08,shap,1,cph
155,77.212262604897,2.748666055804362e-08,shap,1,cph
156,77.2230306162331,2.7688494181177014e-08,shap,1,cph
157,77.7788666776843,2.7890342991842775e-08,shap,1,cph
158,77.9138354855515,2.809236061080565e-08,shap,1,cph
159,77.9619297798254,2.8294316331372865e-08,shap,1,cph
160,78.0247060791338,2.8294316331372865e-08,shap,1,cph
161,78.6934466402973,2.8496751256523508e-08,shap,1,cph
162,78.895065846448,2.8699131176736644e-08,shap,1,cph
163,79.0408890268584,2.890163483071083e-08,shap,1,cph
164,79.496164369872,2.9104287998970117e-08,shap,1,cph
165,79.6754126603074,2.9306921925273394e-08,shap,1,cph
166,80.5763782616856,2.950960965619017e-08,shap,1,cph
167,81.5956767051204,2.971227322120513e-08,shap,1,cph
168,81.8797828837486,2.991502200283594e-08,shap,1,cph
169,83.1221326253997,3.011798322633388e-08,shap,1,cph
170,83.5668605623725,3.0320990524072044e-08,shap,1,cph
171,83.7835354640054,3.0320990524072044e-08,shap,1,cph
172,84.2603241031778,3.052442207202345e-08,shap,1,cph
173,84.893346429699,3.0728053254142114e-08,shap,1,cph
174,85.0294507595396,3.093171758101201e-08,shap,1,cph
175,85.0728273017397,3.11357785354237e-08,shap,1,cph
176,85.3277932602149,3.134011434792458e-08,shap,1,cph
177,86.2809362403088,3.154440381492874e-08,shap,1,cph
178,86.3463928751794,3.1748770095589165e-08,shap,1,cph
179,86.7376629864842,3.1953100979469964e-08,shap,1,cph
180,87.3329336433959,3.2157787036531556e-08,shap,1,cph
181,87.5419544517796,3.23629444341362e-08,shap,1,cph
182,87.6987853478687,3.2568382869310655e-08,shap,1,cph
183,89.0353757535229,3.277394421371641e-08,shap,1,cph
184,89.0912941669003,3.2979419376226404e-08,shap,1,cph
185,89.2594789782061,3.2979419376226404e-08,shap,1,cph
186,89.5329102018555,3.31853797886079e-08,shap,1,cph
187,89.741670071848,3.3391317188192115e-08,shap,1,cph
188,89.8176391067358,3.359747701303637e-08,shap,1,cph
189,89.839397060129,3.380376095153381e-08,shap,1,cph
190,89.9108827393268,3.401049631840751e-08,shap,1,cph
191,90.4442998144771,3.421766784549115e-08,shap,1,cph
192,91.4882817914957,3.442475402387273e-08,shap,1,cph
193,91.5277622190697,3.463195563758391e-08,shap,1,cph
194,91.5398585798176,3.483922984343861e-08,shap,1,cph
195,91.8947817118717,3.5046603119206644e-08,shap,1,cph
196,91.9246622049845,3.525391203402646e-08,shap,1,cph
197,92.5511199439162,3.546151707889636e-08,shap,1,cph
198,92.7256641737893,3.5669253652254007e-08,shap,1,cph
199,92.9267065881184,3.5877093046396545e-08,shap,1,cph
200,93.3529984647829,3.608541171006323e-08,shap,1,cph
201,93.3624994781386,3.6293799228696665e-08,shap,1,cph
202,93.5022447816811,3.6502366110035584e-08,shap,1,cph
203,93.8294512347781,3.671136701953185e-08,shap,1,cph
204,93.9291474844327,3.692044719078655e-08,shap,1,cph
205,94.2757301786967,3.713004033721023e-08,shap,1,cph
206,94.4492839739141,3.733991160594847e-08,shap,1,cph
207,94.6449968243634,3.754982668229035e-08,shap,1,cph
208,94.647774896753,3.754982668229035e-08,shap,1,cph
209,94.7606296422781,3.776022180761647e-08,shap,1,cph
210,95.4870195355126,3.797082709456635e-08,shap,1,cph
211,96.2371129571612,3.81814846317059e-08,shap,1,cph
212,96.302562118101,3.8392122891689235e-08,shap,1,cph
213,96.3088445985255,3.860311274762982e-08,shap,1,cph
214,96.3496919624143,3.8814157766559146e-08,shap,1,cph
215,97.4274380657264,3.902532798668108e-08,shap,1,cph
216,97.5231589017018,3.923664438519753e-08,shap,1,cph
217,97.7683795318995,3.944786126493846e-08,shap,1,cph
218,97.8404080592116,3.965972806868041e-08,shap,1,cph
219,97.8511488485416,3.9871528764551304e-08,shap,1,cph
220,97.8891431708597,4.008370761863052e-08,shap,1,cph
221,98.150170904053,4.029627643443335e-08,shap,1,cph
222,98.3862529298763,4.0508718501663077e-08,shap,1,cph
223,98.96075951193,4.0721186535685153e-08,shap,1,cph
224,99.184859305585,4.093365336075773e-08,shap,1,cph
225,99.256918794034,4.11460416018349e-08,shap,1,cph
226,99.3985752644125,4.13584652140076e-08,shap,1,cph
227,100.340448246074,4.157120582705213e-08,shap,1,cph
228,100.543790614168,4.157120582705213e-08,shap,1,cph
229,100.706745198834,4.178502593291168e-08,shap,1,cph
230,101.438539780336,4.199877211286219e-08,shap,1,cph
231,101.630119691933,4.2212509067686986e-08,shap,1,cph
232,101.998453401079,4.242663926265452e-08,shap,1,cph
233,102.332648637604,4.264092108009654e-08,shap,1,cph
234,102.354573675495,4.264092108009654e-08,shap,1,cph
235,102.518196438661,4.285560758667629e-08,shap,1,cph
236,102.529275063325,4.30703630615246e-08,shap,1,cph
237,102.577678902845,4.328539357956444e-08,shap,1,cph
238,102.74236051535,4.350053493660695e-08,shap,1,cph
239,102.790689131512,4.350053493660695e-08,shap,1,cph
240,103.158222178562,4.3716221756025954e-08,shap,1,cph
241,103.362281530125,4.39317768195751e-08,shap,1,cph
242,103.385715920318,4.39317768195751e-08,shap,1,cph
243,103.514429790312,4.414793399389332e-08,shap,1,cph
244,103.603162984104,4.436393005037038e-08,shap,1,cph
245,103.731014640015,4.458007386658963e-08,shap,1,cph
246,103.84227065228,4.479648608624272e-08,shap,1,cph
247,103.867988004032,4.501299855927166e-08,shap,1,cph
248,104.351880606132,4.52294799839068e-08,shap,1,cph
249,104.461555253281,4.5445975181412544e-08,shap,1,cph
250,104.961214454545,4.566252907351638e-08,shap,1,cph
251,104.963835169828,4.587902352359453e-08,shap,1,cph
252,105.036373069391,4.609540204911872e-08,shap,1,cph
253,105.280491837206,4.631185150304016e-08,shap,1,cph
254,105.426641838281,4.652828602862519e-08,shap,1,cph
255,105.506587742593,4.674468522679484e-08,shap,1,cph
256,105.98278092436,4.696109941819894e-08,shap,1,cph
257,106.609948425712,4.7177937388348344e-08,shap,1,cph
258,106.613523361908,4.739475898368942e-08,shap,1,cph
259,107.012707689663,4.761154947614906e-08,shap,1,cph
260,107.114628953067,4.7828265675853655e-08,shap,1,cph
261,107.633276164499,4.804524680727408e-08,shap,1,cph
262,107.722200533326,4.8262287384292325e-08,shap,1,cph
263,107.806241341694,4.847999297153982e-08,shap,1,cph
264,107.872646262623,4.8698046989009564e-08,shap,1,cph
