,time,sigma,method,cluster,model
0,8.87147316325243,1.3458865489289071e-09,shap,0,rsf
1,9.86923181643317,1.4707357776220568e-09,shap,0,rsf
2,16.5263242952604,1.5460595020240667e-09,shap,0,rsf
3,24.082708462074,1.8445439440216222e-09,shap,0,rsf
4,25.3323262387127,2.1560311983354285e-09,shap,0,rsf
5,25.4059176550618,2.9938553099715543e-09,shap,0,rsf
6,26.3621543265538,3.3971310596328174e-09,shap,0,rsf
7,27.8005171550472,3.3306231142368024e-09,shap,0,rsf
8,28.4686848890552,3.3774127911691772e-09,shap,0,rsf
9,29.9208512047638,4.1066975591503434e-09,shap,0,rsf
10,30.1516978756703,4.325720509592252e-09,shap,0,rsf
11,30.3246953347821,4.820848909601628e-09,shap,0,rsf
12,32.5546233914804,5.879233715108527e-09,shap,0,rsf
13,33.5609194221822,6.205996547013515e-09,shap,0,rsf
14,35.4388915411809,6.269742070520303e-09,shap,0,rsf
15,35.8175252169684,6.933963507648854e-09,shap,0,rsf
16,39.7928298926374,7.528433495604306e-09,shap,0,rsf
17,42.709117941674,7.685488045210556e-09,shap,0,rsf
18,42.9621164087509,7.58782722802496e-09,shap,0,rsf
19,43.3266415335078,7.621134583322958e-09,shap,0,rsf
20,44.279215983917,7.770463191804074e-09,shap,0,rsf
21,44.8779236459573,8.445798125587999e-09,shap,0,rsf
22,45.7176862370226,9.236065100110566e-09,shap,0,rsf
23,49.1934296629408,9.361448094934956e-09,shap,0,rsf
24,49.8141825505253,9.728046578037497e-09,shap,0,rsf
25,51.6752707427474,1.005380546204315e-08,shap,0,rsf
26,51.7239557278839,1.117444991154709e-08,shap,0,rsf
27,53.0617265897002,1.1330734036524695e-08,shap,0,rsf
28,53.3913134421551,1.1482064025606789e-08,shap,0,rsf
29,54.8456069963115,1.1278591135494727e-08,shap,0,rsf
30,55.2997889152169,1.1344714621044228e-08,shap,0,rsf
31,55.7449168325647,1.1589542478194513e-08,shap,0,rsf
32,56.3455208473817,1.2041177069004446e-08,shap,0,rsf
33,58.3019436498451,1.2152377714093713e-08,shap,0,rsf
34,58.871306076801,1.2601022599548519e-08,shap,0,rsf
35,61.4891552165014,1.2544823531442957e-08,shap,0,rsf
36,61.649472799778,1.2774683282668275e-08,shap,0,rsf
37,62.2227214981802,1.2766308291821902e-08,shap,0,rsf
38,62.8520770098839,1.3220724796885585e-08,shap,0,rsf
39,62.856259400529,1.3275516597318612e-08,shap,0,rsf
40,63.3100030774869,1.4320358968940282e-08,shap,0,rsf
41,63.7805960634574,1.4688389209963436e-08,shap,0,rsf
42,65.6445669305465,1.4921640159507475e-08,shap,0,rsf
43,65.7650539010374,1.5312704150112106e-08,shap,0,rsf
44,66.1003966041657,1.5666940665621464e-08,shap,0,rsf
45,67.0045306911074,1.6099326561659076e-08,shap,0,rsf
46,68.8080062396135,1.592584042967137e-08,shap,0,rsf
47,69.6248496488941,1.6155029409187132e-08,shap,0,rsf
48,73.4277721961669,1.6215080263769682e-08,shap,0,rsf
49,73.4794203136551,1.6662503216724056e-08,shap,0,rsf
50,74.3098293513414,1.672480446553194e-08,shap,0,rsf
51,74.3209918591831,1.6490070085441044e-08,shap,0,rsf
52,74.8651327433033,1.7211135685862054e-08,shap,0,rsf
53,76.0134725156012,1.702856514627079e-08,shap,0,rsf
54,76.4641948043368,1.7578962386243308e-08,shap,0,rsf
55,78.0538892815727,1.808222231845269e-08,shap,0,rsf
56,78.9064910262204,1.8421926776327452e-08,shap,0,rsf
57,80.387548731163,1.815130323715523e-08,shap,0,rsf
58,80.7265691022171,1.79541946211187e-08,shap,0,rsf
59,81.8840053869151,1.7741247358053068e-08,shap,0,rsf
60,82.2954638120994,1.7788736953618822e-08,shap,0,rsf
61,83.8701919482438,1.8544784511099405e-08,shap,0,rsf
62,84.772564263225,1.87731772143565e-08,shap,0,rsf
63,84.8706440800254,1.9876116952896577e-08,shap,0,rsf
64,87.3826227669049,1.9991195379116386e-08,shap,0,rsf
65,88.48506948625,2.0095687708565103e-08,shap,0,rsf
66,89.3992840898139,2.044650509654467e-08,shap,0,rsf
67,89.6742771462701,2.10456513879994e-08,shap,0,rsf
68,90.6636016769119,2.1497708412675423e-08,shap,0,rsf
69,92.9243610511643,2.1283683927653486e-08,shap,0,rsf
70,95.4767951237138,2.1325235010090945e-08,shap,0,rsf
71,95.7421337671722,2.1492317424602122e-08,shap,0,rsf
72,96.2192059718744,2.2231505407008756e-08,shap,0,rsf
73,96.294448630709,2.2333567507471002e-08,shap,0,rsf
74,97.1021102450898,2.293324785281978e-08,shap,0,rsf
75,98.7943073349016,2.357239579311612e-08,shap,0,rsf
76,99.0718528312173,2.3478716824843235e-08,shap,0,rsf
77,99.5927362984756,2.411543834159824e-08,shap,0,rsf
78,101.547725554049,2.4924251778690113e-08,shap,0,rsf
79,101.718259574385,2.468168580209315e-08,shap,0,rsf
80,101.868114780674,2.457433173061879e-08,shap,0,rsf
81,102.007843016765,2.4224123505628505e-08,shap,0,rsf
82,102.096733666493,2.5076497389065416e-08,shap,0,rsf
83,102.295673375607,2.4983009992504496e-08,shap,0,rsf
84,103.329468504214,2.4860851071133277e-08,shap,0,rsf
85,103.983993265378,2.5259292218765918e-08,shap,0,rsf
86,105.556406527486,2.4993527984886494e-08,shap,0,rsf
87,106.515702301913,2.5094120493949998e-08,shap,0,rsf
88,106.961085170344,2.493124624307328e-08,shap,0,rsf
89,107.045101657488,2.4914592156641698e-08,shap,0,rsf
90,107.502625150401,2.466946449348597e-08,shap,0,rsf
91,109.729142944384,2.5003288417548837e-08,shap,0,rsf
92,110.156649555225,2.4788860463748953e-08,shap,0,rsf
93,110.210340547876,2.5295706263643626e-08,shap,0,rsf
94,110.449597104049,2.4969423642211284e-08,shap,0,rsf
95,110.580869849019,2.5155323012414955e-08,shap,0,rsf
96,111.811747388061,2.5868298997259024e-08,shap,0,rsf
97,111.973628358394,2.6873060413113418e-08,shap,0,rsf
98,113.668837223721,2.6526486981367232e-08,shap,0,rsf
99,113.673971024396,2.6937572060796255e-08,shap,0,rsf
100,114.425756911962,2.7444378280986867e-08,shap,0,rsf
101,114.584093487516,2.8173192677542444e-08,shap,0,rsf
102,114.633486323182,2.9039766357274294e-08,shap,0,rsf
103,115.251976558813,2.8746981553923922e-08,shap,0,rsf
104,117.420317378753,2.8490247642747796e-08,shap,0,rsf
105,118.592742092695,2.821250698534588e-08,shap,0,rsf
106,118.888302292994,2.8375454013501146e-08,shap,0,rsf
107,119.255094146379,2.8620772204002723e-08,shap,0,rsf
108,119.569286478706,2.863140342938882e-08,shap,0,rsf
109,119.725377403792,2.903684363481908e-08,shap,0,rsf
110,119.736078488914,2.8868073110651382e-08,shap,0,rsf
111,119.966102485317,2.9972751618656106e-08,shap,0,rsf
112,120.037456212693,2.9757338509236745e-08,shap,0,rsf
113,120.197900610451,2.992840965165958e-08,shap,0,rsf
114,120.349287028459,2.977464222765477e-08,shap,0,rsf
115,121.420271276594,2.965258303630997e-08,shap,0,rsf
116,122.572910891996,2.962586687982639e-08,shap,0,rsf
117,122.636629012429,2.940890949472545e-08,shap,0,rsf
118,122.742847136214,3.003274645933201e-08,shap,0,rsf
119,123.232373738238,3.031752998832352e-08,shap,0,rsf
120,123.972069290375,3.009926592737559e-08,shap,0,rsf
121,123.98268483877,3.0889312162865404e-08,shap,0,rsf
122,123.987500345975,3.1069516205097604e-08,shap,0,rsf
123,124.464893131317,3.2016475028435104e-08,shap,0,rsf
124,125.098670777709,3.213359490045494e-08,shap,0,rsf
125,125.710955450303,3.3099985928027664e-08,shap,0,rsf
126,125.90876466589,3.327454533454727e-08,shap,0,rsf
127,126.480934000116,3.3249265226696924e-08,shap,0,rsf
128,127.547252711677,3.3210193034071665e-08,shap,0,rsf
129,128.412518261679,3.308130223819907e-08,shap,0,rsf
