variable_name,variable,value
age,4.0,0.0007437710262308877
creatinine_phosphokinase,4.0,0.00020279236461455717
ejection_fraction,4.0,0.00047820896001386987
platelets,4.0,-7.615742234606435e-05
serum_creatinine,4.0,0.0011902547487371174
serum_sodium,4.0,0.0005826198866699507
sex,4.0,4.246956925858098e-05
smoking,4.0,-6.124407568843795e-05
age,6.0,0.00026848001708184747
creatinine_phosphokinase,6.0,0.002806438750350173
ejection_fraction,6.0,0.001113617041482066
platelets,6.0,0.00018174341703927556
serum_creatinine,6.0,0.0004804721119771394
serum_sodium,6.0,0.0005020609612658107
sex,6.0,6.104993563786556e-05
smoking,6.0,-0.0003322777836728449
age,7.0,9.135430084869522e-05
creatinine_phosphokinase,7.0,0.0022788492318134832
ejection_fraction,7.0,0.0036252402096662844
platelets,7.0,0.0015917736168891508
serum_creatinine,7.0,0.002344798888285776
serum_sodium,7.0,0.0011763563099547246
sex,7.0,0.00013757034719220733
smoking,7.0,-0.00029672606879723763
age,8.0,0.001370217286120832
creatinine_phosphokinase,8.0,0.0018583549317115777
ejection_fraction,8.0,0.004965094758488019
platelets,8.0,0.001302029831620945
serum_creatinine,8.0,0.0055471560984569155
serum_sodium,8.0,0.0028680976472095863
sex,8.0,-0.00026042193043016243
smoking,8.0,-0.0002453976523689198
age,10.0,0.005145923219310182
creatinine_phosphokinase,10.0,0.00321601988178108
ejection_fraction,10.0,0.009957531540975477
platelets,10.0,-0.003807778187691552
serum_creatinine,10.0,0.009196421242930564
serum_sodium,10.0,0.007764914724651259
sex,10.0,-7.91280162778683e-05
smoking,10.0,0.00025529787175831596
age,11.0,-0.0007065748383656566
creatinine_phosphokinase,11.0,0.006481274173269941
ejection_fraction,11.0,0.005810130413034522
platelets,11.0,0.00023169365154408457
serum_creatinine,11.0,0.00544381501118919
serum_sodium,11.0,0.005927695405611048
sex,11.0,0.0010745003329256247
smoking,11.0,-0.0009717423243660902
age,13.0,0.001346229123300625
creatinine_phosphokinase,13.0,0.0067317829190170955
ejection_fraction,13.0,0.006144013040141685
platelets,13.0,0.00117513002601619
serum_creatinine,13.0,0.0052679316457791775
serum_sodium,13.0,0.005776153181321767
sex,13.0,0.001166104277272241
smoking,13.0,-0.0009814971027356121
age,14.0,0.004964046573644297
creatinine_phosphokinase,14.0,0.007153376203159732
ejection_fraction,14.0,0.00763740172340489
platelets,14.0,0.00174867005785341
serum_creatinine,14.0,0.004272380879102842
serum_sodium,14.0,0.006493613955857099
sex,14.0,0.0012305690960162721
smoking,14.0,-0.0010412002285426795
age,15.0,0.0078391516696153
creatinine_phosphokinase,15.0,0.004137616397000594
ejection_fraction,15.0,0.005558454382122996
platelets,15.0,0.003113100615076287
serum_creatinine,15.0,0.004548545096976373
