,importance_ranking,variable,value
0,1,BAP1 mutation,58
1,2,BAP1 mutation,14
2,3,BAP1 mutation,11
3,4,BAP1 mutation,
4,5,BAP1 mutation,17
5,6,BAP1 mutation,33
6,7,BAP1 mutation,18
7,8,BAP1 mutation,4
8,1,nucleoli size,21
9,2,nucleoli size,59
10,3,nucleoli size,55
11,4,nucleoli size,16
12,5,nucleoli size,2
13,6,nucleoli size,2
14,7,nucleoli size,
15,8,nucleoli size,
16,1,age at diagnosis,66
17,2,age at diagnosis,32
18,3,age at diagnosis,17
19,4,age at diagnosis,28
20,5,age at diagnosis,8
21,6,age at diagnosis,4
22,7,age at diagnosis,
23,8,age at diagnosis,
24,1,mitotic rate per 1mm2,
25,2,mitotic rate per 1mm2,4
26,3,mitotic rate per 1mm2,19
27,4,mitotic rate per 1mm2,37
28,5,mitotic rate per 1mm2,51
29,6,mitotic rate per 1mm2,35
30,7,mitotic rate per 1mm2,8
31,8,mitotic rate per 1mm2,1
32,1,ciliary body infiltration,
33,2,ciliary body infiltration,
34,3,ciliary body infiltration,1
35,4,ciliary body infiltration,11
36,5,ciliary body infiltration,21
37,6,ciliary body infiltration,55
38,7,ciliary body infiltration,60
39,8,ciliary body infiltration,7
40,1,largest basal tumor diameter,10
41,2,largest basal tumor diameter,44
42,3,largest basal tumor diameter,49
43,4,largest basal tumor diameter,34
44,5,largest basal tumor diameter,13
45,6,largest basal tumor diameter,3
46,7,largest basal tumor diameter,2
47,8,largest basal tumor diameter,
48,1,TIL density,
49,2,TIL density,
50,3,TIL density,2
51,4,TIL density,4
52,5,TIL density,18
53,6,TIL density,8
54,7,TIL density,61
55,8,TIL density,62
56,1,sex,
57,2,sex,2
58,3,sex,1
59,4,sex,25
60,5,sex,25
61,6,sex,15
62,7,sex,6
63,8,sex,81
